APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Search_Type
1999.0,1999R01HD027970,0.0,Target_Only
2000.0,2000R01HD028165,413557.0,Target_Only
2000.0,2000R01HD028964,464747.0,Target_Only
2011.0,2011R01HD029364,284970.0,Target_Only
2005.0,2005R01HD029909,1024455.0,Target_Only
2010.0,2010R01HD030284,419544.0,Target_Only
2003.0,2003R01HD032588,532689.0,Target_Only
2010.0,2010R01HD033852,379785.0,Target_Only
2006.0,2006R01HD033852,419155.0,Target_Only
2004.0,2004R01HD033852,426706.0,Target_Only
2001.0,2001R01HD033852,477738.0,Target_Only
1999.0,1999R01HD033852,0.0,Target_Only
2001.0,2001R01HD035708,374528.0,Target_Only
2001.0,2001R01HD036913,304408.0,Target_Only
2010.0,2010R01HD038424,393504.0,Target_Only
2009.0,2009R01HD038424,410634.0,Target_Only
2005.0,2005R01HD033147,432994.0,Target_Only
2011.0,2011R01HD038468,314781.0,Target_Only
2004.0,2004R01HD039247,461168.0,Target_Only
2001.0,2001R01HD039267,512000.0,Target_Only
2012.0,2012R01HD041494,373241.0,Target_Only
2005.0,2005R01HD041610,440855.0,Target_Only
2004.0,2004R01HD041610,471189.0,Target_Only
2006.0,2006R01HD041958,516446.0,Target_Only
2005.0,2005R01HD041958,563562.0,Target_Only
2004.0,2004R01HD041958,602339.0,Target_Only
2003.0,2003R01HD041958,633799.0,Target_Only
2002.0,2002R01HD041958,658086.0,Target_Only
2013.0,2013R01HD042751,313427.0,Target_Only
2004.0,2004R01HD042767,504136.0,Target_Only
2005.0,2005R01HD044801,517042.0,Target_Only
2006.0,2006R01HD044859,502293.0,Target_Only
2010.0,2010R01HD047275,420440.0,Target_Only
2008.0,2008R01HD050537,531906.0,Target_Only
2008.0,2008R01HD052694,314782.0,Target_Only
2010.0,2010R01HD050570,350210.0,Target_Only
2011.0,2011R01HD050656,374884.0,Target_Only
2015.0,2015R01HD055545,381352.0,Target_Only
2018.0,2018R01HD010808,317475.0,Target_Only
2009.0,2009R01HD010808,409651.0,Target_Only
2012.0,2012R01HD058300,382446.0,Target_Only
2016.0,2016R01HD056034,406545.0,Target_Only
2012.0,2012R01HD016229,436265.0,Target_Only
2013.0,2013R01HD061580,336457.0,Target_Only
2015.0,2015R01HD072380,310392.0,Target_Only
2016.0,2016R01HD072754,348508.0,Target_Only
2014.0,2014R01HD068777,570831.0,Target_Only
2018.0,2018R01HD082567,321625.0,Target_Only
2019.0,2019R01HD083323,511257.0,Target_Only
2006.0,2006R01NR004141,605514.0,Target_Only
2017.0,2017R01HL027255,301045.0,Target_Only
2016.0,2016R01HL027255,313994.0,Target_Only
2014.0,2014R01HL027255,322758.0,Target_Only
2017.0,2017R01HL059367,814750.0,Target_Only
2014.0,2014R01HL059367,704045.0,Target_Only
2013.0,2013R01HL059367,882174.0,Target_Only
2001.0,2001R01HL056702,202652.0,Target_Only
2004.0,2004R01HL064601,385656.0,Target_Only
2001.0,2001R01HL064601,438778.0,Target_Only
2011.0,2011R01HL071862,660409.0,Target_Only
2012.0,2012R01HL073410,719888.0,Target_Only
2009.0,2009R01HL079421,879212.0,Target_Only
2013.0,2013R01HL083297,423082.0,Target_Only
2009.0,2009R01HL085144,478662.0,Target_Only
2008.0,2008R01HL087647,953596.0,Target_Only
2011.0,2011R01HL085083,463807.0,Target_Only
2010.0,2010R01HL085251,2265824.0,Target_Only
2013.0,2013R01HL086694,1160292.0,Target_Only
2011.0,2011R01HL087263,693289.0,Target_Only
2009.0,2009R01HL087676,735940.0,Target_Only
2009.0,2009R01HL087679,352172.0,Target_Only
2010.0,2010R01HL089650,726864.0,Target_Only
2010.0,2010R01HL089651,967971.0,Target_Only
2011.0,2011R01HL090682,848101.0,Target_Only
2010.0,2010R01HL093029,994152.0,Target_Only
2014.0,2014R01HL080295,1417526.0,Target_Only
2014.0,2014R01HL103931,843888.0,Target_Only
2012.0,2012R01HL102866,457538.0,Target_Only
