PMID,search_term,search_type
33877270,aspirin,Drug
33875313,aspirin,Drug
33874899,aspirin,Drug
33872475,aspirin,Drug
33872443,aspirin,Drug
33871623,aspirin,Drug
33871544,aspirin,Drug
33870848,aspirin,Drug
33870703,aspirin,Drug
33869200,aspirin,Drug
33868558,aspirin,Drug
33868433,aspirin,Drug
33867474,aspirin,Drug
33867424,aspirin,Drug
33865830,aspirin,Drug
33865015,aspirin,Drug
33864761,aspirin,Drug
33864707,aspirin,Drug
33864070,aspirin,Drug
33863570,aspirin,Drug
33862594,aspirin,Drug
33862022,aspirin,Drug
33860685,aspirin,Drug
33860401,aspirin,Drug
33859609,aspirin,Drug
33858007,aspirin,Drug
33857301,aspirin,Drug
33857171,aspirin,Drug
33856269,aspirin,Drug
33855254,aspirin,Drug
33854474,aspirin,Drug
33851372,aspirin,Drug
33850297,aspirin,Drug
33849967,aspirin,Drug
33849424,aspirin,Drug
33849281,aspirin,Drug
33849034,aspirin,Drug
33848181,aspirin,Drug
33847681,aspirin,Drug
33844134,aspirin,Drug
33842990,aspirin,Drug
33842080,aspirin,Drug
33841960,aspirin,Drug
33841632,aspirin,Drug
33837773,aspirin,Drug
33836482,aspirin,Drug
33831672,aspirin,Drug
33830937,aspirin,Drug
33829490,aspirin,Drug
33829397,aspirin,Drug
33827906,aspirin,Drug
33827545,aspirin,Drug
33827445,aspirin,Drug
33826497,aspirin,Drug
33826054,aspirin,Drug
33824826,aspirin,Drug
33824459,aspirin,Drug
33824205,aspirin,Drug
33823462,aspirin,Drug
33821899,aspirin,Drug
33821291,aspirin,Drug
33820664,aspirin,Drug
33819705,aspirin,Drug
33819638,aspirin,Drug
33819512,aspirin,Drug
